Tumor_Sample_Barcode,0,1,2,3
TCGA-P3-A6T0,3.17174953074,3.29394666115,15.4398704982,7.67493541965
TCGA-HD-7229,1e-15,20.5117776725,2.51117346974,6.63781261783
TCGA-CV-A45U,1e-15,19.8766558827,3.24788679582,5.4752118365
TCGA-DQ-5625,16.712126462,7.21083334723,4.40080957622,1e-15
TCGA-QK-A8Z9,0.0396428360478,2.81775249988,12.5443777154,10.8697999153
TCGA-CV-7091,3.69057753939,11.7887687714,1e-15,12.6390527074
TCGA-CV-6954,0.230026856058,5.60929395044,14.7418043645,6.55981634456
TCGA-CV-7252,5.79412656434,12.4775450814,4.03489609331,4.68419124612
TCGA-MT-A67D,20.1250595286,1.04353751286,1e-15,8.35815475581
TCGA-CV-7568,6.56594064624,9.35624534414,10.9350445347,5.82828023849
TCGA-BA-4077,1e-15,8.46064271488,21.2919189399,1e-15
TCGA-F7-7848,1e-15,23.997500516,1e-15,4.98663927628
TCGA-CR-7394,20.0391539298,1e-15,11.0956815095,0.339824993524
TCGA-IQ-A61H,0.226758407746,14.0097137366,7.57123966452,6.31871840372
TCGA-MT-A51X,0.619881552924,8.06556042719,1.22012613583,19.2343990151
TCGA-CV-6962,17.0456383518,7.05539631659,2.67190520622,3.1367128949
TCGA-CR-7401,1e-15,11.0505433844,6.36705834955,13.2030349045
TCGA-KU-A6H7,0.775005266402,11.5901082683,7.90973834655,6.9450265752
TCGA-CV-6938,19.9328258349,1.39260619481,1e-15,9.37191038453
TCGA-CQ-5332,1.75391443324,11.9008877755,4.36802634838,10.2596683518
TCGA-CN-6013,1e-15,2.31883166325,21.8780927043,4.92475437661
TCGA-WA-A7H4,0.985305608519,7.62072374687,0.116378337872,20.1112570404
TCGA-RS-A6TO,1.53892231366,11.8400469487,6.30208768588,8.07670601534
TCGA-UF-A7JD,0.249747982445,8.37627685433,1.9143198575,18.4566299705
TCGA-QK-A8ZB,0.691449274859,5.99916518116,1.24251447008,20.9704650239
TCGA-CV-A6JZ,7.01314314406,5.5299360546,1e-15,18.0780427459
TCGA-BA-6870,2.84331258479,6.21626552169,2.00634193359,17.1171621879
TCGA-CN-A49A,0.480190067199,1e-15,16.020377648,12.1151551343
TCGA-CN-A63W,16.3057940495,13.270500819,1e-15,1e-15
TCGA-CV-6933,1e-15,5.09265411574,4.78102933192,17.3273220535
TCGA-UF-A71D,1.67590026578,27.789179401,1e-15,1e-15
TCGA-CR-7365,16.8755727933,1e-15,5.31826641604,6.46641211786
TCGA-TN-A7HI,1e-15,1e-15,15.6672187466,12.0938131771
TCGA-CN-5370,5.69080971984,5.58428952614,1e-15,16.3366055993
